season,matchday,match,home,guest,homegoals,guestgoals
2016/17,34,1,Bayern,Freiburg,4,1
2016/17,34,2,Dortmund,Bremen,4,3
2016/17,34,3,Gladbach,Darmstadt,2,2
2016/17,34,4,Hertha,Leverkusen,2,6
2016/17,34,5,Köln,Mainz,2,0
2016/17,34,6,HSV,Wolfsburg,2,1
2016/17,34,7,Ingolstadt,Schalke,1,1
2016/17,34,8,Hoffenheim,Augsburg,0,0
2016/17,34,9,E. Frankfurt,Leipzig,2,2
2016/17,33,1,Leverkusen,Köln,2,2
2016/17,33,2,Schalke,HSV,1,1
2016/17,33,3,Mainz,E. Frankfurt,4,2
2016/17,33,4,Wolfsburg,Gladbach,1,1
2016/17,33,5,Augsburg,Dortmund,1,1
2016/17,33,6,Bremen,Hoffenheim,3,5
2016/17,33,7,Darmstadt,Hertha,0,2
2016/17,33,8,Freiburg,Ingolstadt,1,1
2016/17,33,9,Leipzig,Bayern,4,5
2016/17,32,1,Köln,Bremen,4,3
2016/17,32,2,Bayern,Darmstadt,1,0
2016/17,32,3,Dortmund,Hoffenheim,2,1
2016/17,32,4,Gladbach,Augsburg,1,1
2016/17,32,5,Ingolstadt,Leverkusen,1,1
2016/17,32,6,E. Frankfurt,Wolfsburg,0,2
2016/17,32,7,Hertha,Leipzig,1,4
2016/17,32,8,HSV,Mainz,0,0
2016/17,32,9,Freiburg,Schalke,2,0
2016/17,31,1,Leverkusen,Schalke,1,4
2016/17,31,2,Dortmund,Köln,0,0
2016/17,31,3,Mainz,Gladbach,1,2
2016/17,31,4,Bremen,Hertha,2,0
2016/17,31,5,Darmstadt,Freiburg,3,0
2016/17,31,6,Leipzig,Ingolstadt,0,0
2016/17,31,7,Wolfsburg,Bayern,0,6
2016/17,31,8,Augsburg,HSV,4,0
2016/17,31,9,Hoffenheim,E. Frankfurt,1,0
2016/17,30,1,Köln,Hoffenheim,1,1
2016/17,30,2,Bayern,Mainz,2,2
2016/17,30,3,Hertha,Wolfsburg,1,0
2016/17,30,4,HSV,Darmstadt,1,2
2016/17,30,5,Ingolstadt,Bremen,2,4
2016/17,30,6,E. Frankfurt,Augsburg,3,1
2016/17,30,7,Gladbach,Dortmund,2,3
2016/17,30,8,Freiburg,Leverkusen,2,1
2016/17,30,9,Schalke,Leipzig,1,1
2016/17,29,1,Dortmund,E. Frankfurt,3,1
2016/17,29,2,Mainz,Hertha,1,0
2016/17,29,3,Wolfsburg,Ingolstadt,3,0
2016/17,29,4,Augsburg,Köln,2,1
2016/17,29,5,Hoffenheim,Gladbach,5,3
2016/17,29,6,Leipzig,Freiburg,4,0
2016/17,29,7,Leverkusen,Bayern,0,0
2016/17,29,8,Bremen,HSV,2,1
2016/17,29,9,Darmstadt,Schalke,2,1
2016/17,28,1,E. Frankfurt,Bremen,2,2
2016/17,28,2,Schalke,Wolfsburg,4,1
2016/17,28,3,Köln,Gladbach,2,3
2016/17,28,4,HSV,Hoffenheim,2,1
2016/17,28,5,Freiburg,Mainz,1,0
2016/17,28,6,Leipzig,Leverkusen,1,0
2016/17,28,7,Bayern,Dortmund,4,1
2016/17,28,8,Hertha,Augsburg,2,0
2016/17,28,9,Ingolstadt,Darmstadt,3,2
2016/17,27,1,Dortmund,HSV,3,0
2016/17,27,2,Köln,E. Frankfurt,1,0
2016/17,27,3,Bremen,Schalke,3,0
2016/17,27,4,Hoffenheim,Bayern,1,0
2016/17,27,5,Gladbach,Hertha,1,0
2016/17,27,6,Mainz,Leipzig,2,3
2016/17,27,7,Wolfsburg,Freiburg,0,1
2016/17,27,8,Augsburg,Ingolstadt,2,3
2016/17,27,9,Darmstadt,Leverkusen,0,2
2016/17,26,1,Hertha,Hoffenheim,1,3
2016/17,26,2,Bayern,Augsburg,6,0
2016/17,26,3,Schalke,Dortmund,1,1
2016/17,26,4,HSV,Köln,2,1
2016/17,26,5,Freiburg,Bremen,2,5
2016/17,26,6,Leipzig,Darmstadt,4,0
2016/17,26,7,E. Frankfurt,Gladbach,0,0
2016/17,26,8,Ingolstadt,Mainz,2,1
2016/17,26,9,Leverkusen,Wolfsburg,3,3
2016/17,25,1,Dortmund,Ingolstadt,1,0
2016/17,25,2,Wolfsburg,Darmstadt,1,0
2016/17,25,3,Köln,Hertha,4,2
2016/17,25,4,Augsburg,Freiburg,1,1
2016/17,25,5,Bremen,Leipzig,3,0
2016/17,25,6,Hoffenheim,Leverkusen,1,0
2016/17,25,7,E. Frankfurt,HSV,0,0
2016/17,25,8,Mainz,Schalke,0,1
2016/17,25,9,Gladbach,Bayern,0,1
2016/17,24,1,Leverkusen,Bremen,1,1
2016/17,24,2,Bayern,E. Frankfurt,3,0
2016/17,24,3,Hertha,Dortmund,2,1
2016/17,24,4,Darmstadt,Mainz,2,1
2016/17,24,5,Freiburg,Hoffenheim,1,1
2016/17,24,6,Leipzig,Wolfsburg,0,1
2016/17,24,7,Ingolstadt,Köln,2,2
2016/17,24,8,Schalke,Augsburg,3,0
2016/17,24,9,HSV,Gladbach,2,1
2016/17,23,1,Augsburg,Leipzig,2,2
2016/17,23,2,Dortmund,Leverkusen,6,2
2016/17,23,3,Mainz,Wolfsburg,1,1
2016/17,23,4,Köln,Bayern,0,3
2016/17,23,5,Bremen,Darmstadt,2,0
2016/17,23,6,Hoffenheim,Ingolstadt,5,2
2016/17,23,7,Gladbach,Schalke,4,2
2016/17,23,8,E. Frankfurt,Freiburg,1,2
2016/17,23,9,HSV,Hertha,1,0
2016/17,22,1,Wolfsburg,Bremen,1,2
2016/17,22,2,Bayern,HSV,8,0
2016/17,22,3,Leverkusen,Mainz,0,2
2016/17,22,4,Darmstadt,Augsburg,1,2
2016/17,22,5,Freiburg,Dortmund,0,3
2016/17,22,6,Leipzig,Köln,3,1
2016/17,22,7,Hertha,E. Frankfurt,2,0
2016/17,22,8,Ingolstadt,Gladbach,0,2
2016/17,22,9,Schalke,Hoffenheim,1,1
2016/17,21,1,Augsburg,Leverkusen,1,3
2016/17,21,2,Dortmund,Wolfsburg,3,0
2016/17,21,3,Mainz,Bremen,0,2
2016/17,21,4,Hertha,Bayern,1,1
2016/17,21,5,Hoffenheim,Darmstadt,2,0
2016/17,21,6,E. Frankfurt,Ingolstadt,0,2
2016/17,21,7,HSV,Freiburg,2,2
2016/17,21,8,Gladbach,Leipzig,1,2
2016/17,21,9,Köln,Schalke,1,1
2016/17,20,1,Mainz,Augsburg,2,0
2016/17,20,2,Leverkusen,E. Frankfurt,3,0
2016/17,20,3,Ingolstadt,Bayern,0,2
2016/17,20,4,Bremen,Gladbach,0,1
2016/17,20,5,Darmstadt,Dortmund,2,1
2016/17,20,6,Leipzig,HSV,0,3
2016/17,20,7,Schalke,Hertha,2,0
2016/17,20,8,Wolfsburg,Hoffenheim,2,1
2016/17,20,9,Freiburg,Köln,2,1
2016/17,19,1,HSV,Leverkusen,1,0
2016/17,19,2,Bayern,Schalke,1,1
2016/17,19,3,Gladbach,Freiburg,3,0
2016/17,19,4,Hertha,Ingolstadt,1,0
2016/17,19,5,Köln,Wolfsburg,1,0
2016/17,19,6,Hoffenheim,Mainz,4,0
2016/17,19,7,Dortmund,Leipzig,1,0
2016/17,19,8,Augsburg,Bremen,3,2
2016/17,19,9,E. Frankfurt,Darmstadt,2,0
2016/17,18,1,Schalke,E. Frankfurt,0,1
2016/17,18,2,Wolfsburg,Augsburg,1,2
2016/17,18,3,Ingolstadt,HSV,3,1
2016/17,18,4,Bremen,Bayern,1,2
2016/17,18,5,Darmstadt,Köln,1,6
2016/17,18,6,Leipzig,Hoffenheim,2,1
2016/17,18,7,Leverkusen,Gladbach,2,3
2016/17,18,8,Freiburg,Hertha,2,1
2016/17,18,9,Mainz,Dortmund,1,1
2016/17,17,1,Freiburg,Bayern,1,2
2016/17,17,2,Schalke,Ingolstadt,1,0
2016/17,17,3,Wolfsburg,HSV,1,0
2016/17,17,4,Augsburg,Hoffenheim,0,2
2016/17,17,5,Bremen,Dortmund,1,2
2016/17,17,6,Darmstadt,Gladbach,0,0
2016/17,17,7,Leipzig,E. Frankfurt,3,0
2016/17,17,8,Leverkusen,Hertha,3,1
2016/17,17,9,Mainz,Köln,0,0
2016/17,16,1,Dortmund,Augsburg,1,1
2016/17,16,2,Gladbach,Wolfsburg,1,2
2016/17,16,3,HSV,Schalke,2,1
2016/17,16,4,E. Frankfurt,Mainz,3,0
2016/17,16,5,Bayern,Leipzig,3,0
2016/17,16,6,Hertha,Darmstadt,2,0
2016/17,16,7,Köln,Leverkusen,1,1
2016/17,16,8,Ingolstadt,Freiburg,1,2
2016/17,16,9,Hoffenheim,Bremen,1,1
2016/17,15,1,Hoffenheim,Dortmund,2,2
2016/17,15,2,Schalke,Freiburg,1,1
2016/17,15,3,Mainz,HSV,3,1
2016/17,15,4,Augsburg,Gladbach,1,0
2016/17,15,5,Bremen,Köln,1,1
2016/17,15,6,Leipzig,Hertha,2,0
2016/17,15,7,Wolfsburg,E. Frankfurt,1,0
2016/17,15,8,Darmstadt,Bayern,0,1
2016/17,15,9,Leverkusen,Ingolstadt,1,2
2016/17,14,1,E. Frankfurt,Hoffenheim,0,0
2016/17,14,2,Bayern,Wolfsburg,5,0
2016/17,14,3,Köln,Dortmund,1,1
2016/17,14,4,HSV,Augsburg,1,0
2016/17,14,5,Ingolstadt,Leipzig,1,0
2016/17,14,6,Freiburg,Darmstadt,1,0
2016/17,14,7,Hertha,Bremen,0,1
2016/17,14,8,Gladbach,Mainz,1,0
2016/17,14,9,Schalke,Leverkusen,0,1
2016/17,13,1,Mainz,Bayern,1,3
2016/17,13,2,Dortmund,Gladbach,4,1
2016/17,13,3,Leverkusen,Freiburg,1,1
2016/17,13,4,Wolfsburg,Hertha,2,3
2016/17,13,5,Bremen,Ingolstadt,2,1
2016/17,13,6,Hoffenheim,Köln,4,0
2016/17,13,7,Leipzig,Schalke,2,1
2016/17,13,8,Darmstadt,HSV,0,2
2016/17,13,9,Augsburg,E. Frankfurt,1,1
2016/17,12,1,Freiburg,Leipzig,1,4
2016/17,12,2,Gladbach,Hoffenheim,1,1
2016/17,12,3,Köln,Augsburg,0,0
2016/17,12,4,HSV,Bremen,2,2
2016/17,12,5,Ingolstadt,Wolfsburg,1,1
2016/17,12,6,E. Frankfurt,Dortmund,2,1
2016/17,12,7,Bayern,Leverkusen,2,1
2016/17,12,8,Schalke,Darmstadt,3,1
2016/17,12,9,Hertha,Mainz,2,1
2016/17,11,1,Leverkusen,Leipzig,2,3
2016/17,11,2,Gladbach,Köln,1,2
2016/17,11,3,Mainz,Freiburg,4,2
2016/17,11,4,Wolfsburg,Schalke,0,1
2016/17,11,5,Augsburg,Hertha,0,0
2016/17,11,6,Darmstadt,Ingolstadt,0,1
2016/17,11,7,Dortmund,Bayern,1,0
2016/17,11,8,Hoffenheim,HSV,2,2
2016/17,11,9,Bremen,E. Frankfurt,1,2
2016/17,10,1,Hertha,Gladbach,3,0
2016/17,10,2,Bayern,Hoffenheim,1,1
2016/17,10,3,Leverkusen,Darmstadt,3,2
2016/17,10,4,HSV,Dortmund,2,5
2016/17,10,5,Ingolstadt,Augsburg,0,2
2016/17,10,6,Freiburg,Wolfsburg,0,3
2016/17,10,7,E. Frankfurt,Köln,1,0
2016/17,10,8,Leipzig,Mainz,3,1
2016/17,10,9,Schalke,Bremen,3,1
2016/17,9,1,Gladbach,E. Frankfurt,0,0
2016/17,9,2,Mainz,Ingolstadt,2,0
2016/17,9,3,Wolfsburg,Leverkusen,1,2
2016/17,9,4,Augsburg,Bayern,1,3
2016/17,9,5,Bremen,Freiburg,1,3
2016/17,9,6,Darmstadt,Leipzig,0,2
2016/17,9,7,Dortmund,Schalke,0,0
2016/17,9,8,Hoffenheim,Hertha,1,0
2016/17,9,9,Köln,HSV,3,0
2016/17,8,1,HSV,E. Frankfurt,0,3
2016/17,8,2,Leverkusen,Hoffenheim,0,3
2016/17,8,3,Hertha,Köln,2,1
2016/17,8,4,Ingolstadt,Dortmund,3,3
2016/17,8,5,Darmstadt,Wolfsburg,3,1
2016/17,8,6,Freiburg,Augsburg,2,1
2016/17,8,7,Bayern,Gladbach,2,0
2016/17,8,8,Leipzig,Bremen,3,1
2016/17,8,9,Schalke,Mainz,3,0
